Establishment ID,Name,Address,City,Inspection Date,Inspection Type,critical_points,non_critical_points,total_points,max_total_points,compliance_score,letter_grade
236,BELTWAY CAR CARE,9475 GEORGIA AVE.,SILVER SPRING,2023-09-13,Monitoring,110,20,130,130,100,A
45658,SUBWAY #20574,11211 NEW HAMPSHIRE AVE.,SILVER SPRING,2023-09-13,Comprehensive,110,20,130,130,100,A
53861,MISS TOYA'S SOUTHERN KITCHEN,225 BOARDWALK PLACE,GAITHERSBURG,2023-09-12,Food Complaint,110,20,130,130,100,A
52571,CHARLEYS PHILLY STEAKS,13617 CONNECTICUT AVE,SILVER SPRING,2023-09-13,Pre-Opening - Environmental,110,20,130,130,100,A
18234,GERMANTOWN FREESTATE,20650 FREDERICK RD.,GERMANTOWN,2023-10-11,Comprehensive,110,20,130,130,100,A
54033,DISTRICT BISTRO AND FRANKS BURGER,11230 GRANDVIEW AVE,SILVER SPRING,2023-10-10,Re-inspection Billable,110,20,130,130,100,A
53924,A & A CATERING DMV LLC,7845-D AIRPARK RD,GAITHERSBURG,2023-06-27,NA,110,20,130,130,100,A
53945,UNCORKED,8525 CHEVY CHASE LAKE TERRACE,CHEVY CHASE,2023-07-11,Plans Approved,110,20,130,130,100,A
20417,HARRIS TEETER #373,12525 PARK POTOMAC AVE.,POTOMAC,2023-08-02,Food Complaint,110,20,130,130,100,A
53912,BAKED POTATO HOUSE,"22705 CLARKSBURG RD, UNIT 922",CLARKSBURG,2023-06-15,Pre-Opening - Environmental,110,20,130,130,100,A
53912,BAKED POTATO HOUSE,"22705 CLARKSBURG RD, UNIT 922",CLARKSBURG,2023-06-16,Reinspection,110,20,130,130,100,A
53819,MACKIE'S BARBECUE COMPANY,5500 OLNEY LAYTONSVILLE RD,OLNEY,2023-08-03,Change of Ownership - Environmental,110,20,130,130,100,A
53917,ONELIFE FITNESS OLNEY,17821 GEORGIA AVE,OLNEY,2023-07-03,Pre-Opening - Environmental,110,20,130,130,100,A
39876,CRUMBL COOKIES,12266 ROCKVILLE PIKE,ROCKVILLE,2023-08-01,Comprehensive,110,20,130,130,100,A
22622,VEDANTA CENTER OF GREATER WASHINGTON DC,3001 BEL PRE RD.,SILVER SPRING,2024-01-10,Comprehensive,110,20,130,130,100,A
53945,UNCORKED,8525 CHEVY CHASE LAKE TERRACE,CHEVY CHASE,2023-07-07,Pre-Opening - Environmental,110,25,135,135,100,A
53924,A & A CATERING DMV LLC,7845-D AIRPARK RD,GAITHERSBURG,2023-07-06,Pre-Opening - Environmental,110,20,130,130,100,A
18009,CRISP & JUICY,1314 EAST WEST HWY.,SILVER SPRING,2023-08-03,Reinspection,110,20,130,130,100,A
53965,SELECTOS SUPERMARKET INC,"19110 MONTGOMERY VILLAGE AVE , STE 101",MONTGOMERY VILLAGE,2023-07-17,Comprehensive,110,20,130,130,100,A
33079,MONTEREY MART & CAFE,5901 MONTROSE RD,ROCKVILLE,2023-08-02,Comprehensive,110,20,130,130,100,A
39912,GOTERA DEPOT,8709 FLOWER AVE,SILVER SPRING,2023-08-03,Food Complaint,110,20,130,130,100,A
53900,NEALS BAGELS,113 COMMERCE SQUARE PLACE,GAITHERSBURG,2023-06-15,Pre-Opening - Environmental,110,20,130,130,100,A
