UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD19,NEG_M19,RAPE19,FONDL19,INCES19,STATR19,ROBBE19,AGG_A19,BURGLA19,VEHIC19,ARSON19,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,FILTER19,FILTER20,FILTER21
243780009,Purdue University-Main Campus,00182500,Lafayette Campus,5500 State Road 38 East,Lafayette,IN,47903,1,"Public, 4-year or above",29057,21287,50344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
243780010,Purdue University-Main Campus,00182500,Columbus Campus,4444 Kelly St.,Columbus,IN,47203,1,"Public, 4-year or above",29057,21287,50344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767001,The Pennsylvania State University,00332900,University Park Campus Penn State,201 OLD MAIN,UNIVERSITY PARK,PA,168021589,1,"Public, 4-year or above",47469,41445,88914,,,,,,,,,,,,0,0,28,13,0,0,0,7,11,2,3,0,0,41,22,0,0,0,5,9,1,2,0,1,1
495767002,The Pennsylvania State University,00332900,Dickinson Campus Penn State,150 SOUTH COLLEGE ST,CARLISLE,PA,170132899,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
495767003,The Pennsylvania State University,00332900,Behrend College Penn State,4701 College Drive,ERIE,PA,16563,1,"Public, 4-year or above",47469,41445,88914,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1
495767004,The Pennsylvania State University,00332900,Great Valley Campus Penn State,30 E SWEDESFORD RD,MALVERN,PA,19355,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
495767005,The Pennsylvania State University,00332900,Pennsylvania State University - Navy Yard,4960 South 12th Street,Philadelphia,PA,19112,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767006,The Pennsylvania State University,00332900,Hershey Penn State College of Medicine,700 HMC Crescent Road,HERSHEY,PA,170332390,1,"Public, 4-year or above",47469,41445,88914,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,1
495767007,The Pennsylvania State University,00332900,New Kensington Campus Penn State,3550 7TH STREET ROAD,New Kensington,PA,15068,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767008,The Pennsylvania State University,00332900,Shenango Campus Penn State,147 SHENANGO AVE,SHARON,PA,161461537,1,"Public, 4-year or above",47469,41445,88914,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767009,The Pennsylvania State University,00332900,Wilkes Barre Campus Penn State,44 University Drive,Dallas,PA,18612,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767010,The Pennsylvania State University,00332900,Scranton Campus Penn State,120 RIDGE VIEW DR,DUNMORE,PA,185121602,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767011,The Pennsylvania State University,00332900,Lehigh Valley Campus Penn State,2809 Saucon Valley Road,Center Valley,PA,180348447,1,"Public, 4-year or above",47469,41445,88914,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767012,The Pennsylvania State University,00332900,Altoona Campus Penn State,3000 IVYSIDE PK,ALTOONA,PA,16601,1,"Public, 4-year or above",47469,41445,88914,0,0,2,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,4,0,0,0,1,0,0,0,1,1,1
495767013,The Pennsylvania State University,00332900,Beaver Campus Penn State,100 UNIVERSITY DR,MONACA,PA,15061,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,1
495767014,The Pennsylvania State University,00332900,Berks Campus Penn State,P.O. Box 7009 TULPEHOCKEN RD,READING,PA,196106009,1,"Public, 4-year or above",47469,41445,88914,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,1,1,1
495767015,The Pennsylvania State University,00332900,Harrisburg Campus Penn State,777 W HARRISBURG PKE,MIDDLETOWN,PA,170574898,1,"Public, 4-year or above",47469,41445,88914,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,1,1,1
495767016,The Pennsylvania State University,00332900,Brandywine Campus Penn State,25 YEARSLEY MILL RD,MEDIA,PA,19063,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
495767017,The Pennsylvania State University,00332900,DuBois Campus Penn State,ONE COLLEGE PLACE,DU BOIS,PA,158012549,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767018,The Pennsylvania State University,00332900,Fayette Campus Penn State,2201 University Drive,Lemont Furnace,PA,15456,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767019,The Pennsylvania State University,00332900,Hazleton Campus Penn State,76 University Drive,HAZLETON,PA,18202,1,"Public, 4-year or above",47469,41445,88914,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1
495767021,The Pennsylvania State University,00332900,Penn State Greater Allegheny,4000 UNIVERSITY DR,MCKEESPORT,PA,151327698,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767022,The Pennsylvania State University,00332900,Mont Alto Campus Penn State,One CAMPUS DR,MONT ALTO,PA,172379703,1,"Public, 4-year or above",47469,41445,88914,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
495767023,The Pennsylvania State University,00332900,Abington Campus Penn State,1600 WOODLAND RD,ABINGTON,PA,190013918,1,"Public, 4-year or above",47469,41445,88914,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1
495767024,The Pennsylvania State University,00332900,Schuylkill Campus Penn State,200 UNIVERSITY DR,SCHUYLKILL HAVEN,PA,179722208,1,"Public, 4-year or above",47469,41445,88914,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1
495767025,The Pennsylvania State University,00332900,York Campus Penn State,1031 EDGECOMB AVE,YORK,PA,17403,1,"Public, 4-year or above",47469,41445,88914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
